PE-MC-RS485-S_V1.1.2
2018.10.10.

1. 위치, 속도제어
ID0, 0도, 10s: FFFE0006930200000064
ID0, +0.13도, 0.1s: FFFE0006E90200000D01
ID0, +0.26도, 0.1s: FFFE0006DC0200001A01
ID0, +3도, 0.1s: FFFE0006C90200012C01
ID0, +5도, 0.1s: FFFE000601020001F401
ID0, +90도, 0.1s: FFFE0006AB0200232801
ID0, +90도, 0.5s: FFFE0006A70200232805
ID0, +90도, 0.8s: FFFE0006A40200232808
ID0, +90도, 1s: FFFE0006A2020023280A
ID0, +90도, 5s: FFFE00067A0200232832
ID0, +90도, 6s: FFFE000670020023283C
ID0, +90도, 7s: FFFE0006660200232846
ID0, +90도, 10s: FFFE0006480200232864
ID0, +180도, 0.1s: FFFE0006600200465001
ID0, +360도, 0s: FFFE0006CB02008CA000
ID0, +360도, 0.1s: FFFE0006CA02008CA001
ID0, +360도, 0.2s: FFFE0006C902008CA002
ID0, +360도, 0.5s: FFFE0006C602008CA005
ID0, +360도, 1s: FFFE0006C102008CA00A
ID0, +360도, 2s: FFFE0006B702008CA014
ID0, +360도, 5s: FFFE00069902008CA032
ID0, +360도, 6s: FFFE00068F02008CA03C
ID0, +360도, 7s: FFFE00068502008CA046
ID0, +360도, 8s: FFFE00067B02008CA050
ID0, +360도, 10s: FFFE00066702008CA064
ID0, +360도, 25.5s: FFFE0006CC02008CA0FF
ID0, +655.33도, 0.1s: FFFE0006FA0200FFFD01
ID0, +655.33도, 0.2s: FFFE0006F90200FFFD02
ID0, +655.33도, 1s: FFFE0006F10200FFFD0A
ID0, +655.33도, 3s: FFFE0006DD0200FFFD1E
ID0, +655.33도, 5s: FFFE0006C90200FFFD32
ID0, +655.33도, 10s: FFFE0006970200FFFD64
ID0, -0.13도, 0.1s: FFFE0006E80201000D01
ID0, -0.26도, 0.1s: FFFE0006DB0201001A01
ID0, -3도, 0.1s: FFFE0006C80201012C01
ID0, -5도, 0.1s: FFFE000600020101F401
ID0, -90도, 0.1s: FFFE0006AA0201232801
ID0, -90도, 0.5s: FFFE0006A60201232805
ID0, -90도, 0.8s: FFFE0006A30201232808
ID0, -90도, 1s: FFFE0006A1020123280A
ID0, -90도, 5s: FFFE0006790201232832
ID0, -90도, 6s: FFFE00066F020123283C
ID0, -90도, 7s: FFFE0006650201232846
ID0, -90도, 10s: FFFE0006470201232864
ID0, -180도, 0.1s: FFFE00065F0201465001
ID0, -360도, 0.1s: FFFE0006C902018CA001
ID0, -360도, 0.2s: FFFE0006C802018CA002
ID0, -360도, 0.5s: FFFE0006C502018CA005
ID0, -360도, 1s: FFFE0006C002018CA00A
ID0, -360도, 2s: FFFE0006B602018CA014
ID0, -360도, 5s: FFFE00069802018CA032
ID0, -360도, 6s: FFFE00068E02018CA03C
ID0, -360도, 7s: FFFE00068402018CA046
ID0, -360도, 8s: FFFE00067A02018CA050
ID0, -360도, 10s: FFFE00066602018CA064
ID0, -360도, 25.5s: FFFE0006CB02018CA0FF
ID0, -655.33도, 0.1s: FFFE0006F90201FFFD01
ID0, -655.33도, 0.2s: FFFE0006F80201FFFD02
ID0, +360도, 1s: FFFE0106C002008CA00A
ID1, 0도, 0.5s: FFFE0106F10200000005
ID1, 0도, 1s: FFFE0106EC020000000A
ID1, 0도, 3s: FFFE0106D8020000001E
ID1, +360도, 0.5s: FFFE0106C502008CA005
ID1, +360도, 1s: FFFE0106C002008CA00A
ID1, +360도, 7s: FFFE01068402008CA046
ID1, +655.33도, 3s: FFFE0106DC0200FFFD1E
ID1, -360도, 0.5s: FFFE0106C402018CA005
ID1, -360도, 1s: FFFE0106BF02018CA00A
ID1, -360도, 7s: FFFE01068302018CA046
ID2, 0도, 0.5s: FFFE0206F00200000005
ID2, 0도, 3s: FFFE0206D7020000001E
ID2, +360도, 0.5s: FFFE0206C402008CA005
ID2, +655.33도, 3s: FFFE0206DB0200FFFD1E
ID2, -360도, 0.5s: FFFE0206C302018CA005
ID3, 0도, 0.5s: FFFE0306EF0200000005
ID3, 0도, 3s: FFFE0306D6020000001E
ID3, +360도, 0.5s: FFFE0306C302008CA005
ID3, +655.33도, 3s: FFFE0306DA0200FFFD1E
ID3, -360도, 0.5s: FFFE0306C202018CA005
ID4, 0도, 3s: FFFE0406D5020000001E
ID4, +655.33도, 3s: FFFE0406D90200FFFD1E

01 06 03 00 02 58 0A

3. 가감속 속도제어
ID0, 0RPM, 1s: FFFE0006EC030000000A
ID0, +1RPM, 1s: FFFE0006E20300000A0A
ID0, +3RPM, 1s: FFFE0006CE0300001E0A
ID0, +5RPM, 1s: FFFE0006BA030000320A
ID0, +10RPM, 1s: FFFE000688030000640A
ID0, +10RPM, 2s: FFFE00067E0300006414
ID0, +10RPM, 25.5s: FFFE00069303000064FF
ID0, +60RPM, 1s: FFFE000692030002580A
ID0, +100RPM, 1s: FFFE000601030003E80A
ID0, +100RPM, 2s: FFFE0006F7030003E814
ID0, +120RPM, 1s: FFFE000638030004B00A
ID0, +200RPM, 1s: FFFE000615030007D00A
ID0, +1000RPM, 1s: FFFE0006B5030027100A
ID0, +1500RPM, 1s: FFFE00061A03003A980A
ID0, +2000RPM, 1s: FFFE00067E03004E200A
ID0, +3000RPM, 0.1s: FFFE0006500300753001
ID0, +3000RPM, 1s: FFFE000647030075300A
ID0, -1RPM, 1s: FFFE0006E10301000A0A
ID0, -3RPM, 1s: FFFE0006CD0301001E0A
ID0, -5RPM, 1s: FFFE0006B9030100320A
ID0, -10RPM, 1s: FFFE000687030100640A
ID0, -10RPM, 2s: FFFE00067D0301006414
ID0, -10RPM, 25.5s: FFFE00069203010064FF
ID0, -60RPM, 1s: FFFE000691030102580A
ID0, -100RPM, 1s: FFFE000600030103E80A
ID0, -100RPM, 2s: FFFE0006F6030103E814
ID0, -120RPM, 1s: FFFE000637030104B00A
ID0, -200RPM, 1s: FFFE000614030107D00A
ID0, -1000RPM, 1s: FFFE0006B4030127100A
ID0, -1500RPM, 1s: FFFE00061903013A980A
ID0, -2000RPM, 1s: FFFE00067D03014E200A
ID0, -3000RPM, 0.1s: FFFE00064F0301753001
ID0, -3000RPM, 1s: FFFE000646030175300A

4. 위치제어기 설정
ID0, Kp40, ki0, kd0, 8.0A: FFFE00067D0428000050
ID0, Kp80, ki0, kd0, 8.0A: FFFE0006550450000050
ID0, Kp80, ki0, kd0, 16.0A: FFFE00060504500000A0
ID0, Kp80, ki0, kd0, 24.4A: FFFE0006A704500000FE
ID0, Kp100, ki0, kd0, 8.0A: FFFE0006410464000050
ID0, Kp160, ki0, kd0, 3.2A: FFFE00063504A0000020
ID0, Kp160, ki0, kd0, 8.0A: FFFE00060504A0000050
ID0, Kp160, ki160, kd0, 0.5A: FFFE0006B004A0A00005
ID0, Kp160, ki160, kd0, 1A: FFFE0006AB04A0A0000A
ID0, Kp160, ki160, kd0, 3.2A: FFFE00069504A0A00020
ID0, Kp160, ki160, kd160, 3.2A: FFFE0006F504A0A0A020
ID0, Kp160, ki160, kd160, 3.3A: FFFE0006F404A0A0A021
ID0, Kp160, ki160, kd160, 8.0A: FFFE0006C504A0A0A050
ID0, Kp160, ki160, kd160, 8.1A: FFFE0006C404A0A0A051
ID0, Kp244, ki0, kd0, 3.2A: FFFE0006D704FE000020
ID0, Kp244, ki0, kd0, 24.4A: FFFE0006F904FE0000FE
ID0, Kp244, ki0, kd244, 3.2A: FFFE0006D904FE00FE20
ID0, Kp244, ki16, kd0, 3.2A: FFFE0006C704FE100020
ID0, Kp244, ki244, kd0, 0.5A: FFFE0006F404FEFE0005
ID0, Kp244, ki244, kd0, 1.6A: FFFE0006E904FEFE0010
ID0, Kp244, ki244, kd0, 3.2A: FFFE0006D904FEFE0020
ID0, Kp244, ki244, kd0, 16A: FFFE00065904FEFE00A0
ID0, Kp244, ki244, kd244, 3.2A: FFFE0006DB04FEFEFE20
ID0, Kp244, ki244, kd244, 8.0A: FFFE0006AB04FEFEFE50
ID1, Kp244, ki244, kd244, 8.0A: FFFE0106AA04FEFEFE50
ID1, Kp100, ki0, kd0, 24.4A: FFFE01069204640000FE
ID1, Kp244, ki0, kd0, 24.4A: FFFE0106F804FE0000FE
ID2, Kp244, ki244, kd244, 8.0A: FFFE0206A904FEFEFE50
ID3, Kp244, ki244, kd244, 8.0A: FFFE0306A804FEFEFE50
ID4, Kp244, ki244, kd244, 8.0A: FFFE0406A704FEFEFE50
ID4, Kp80, ki0, kd0, 24.4A: FFFE0406A304500000FE

5. 속도제어기 설정
ID0, Kp80, ki0, kd0, 24.4A: FFFE0006A605500000FE
ID0, Kp160, ki0, kd0, 3.2A: FFFE00063405A0000020
ID0, Kp160, ki160, kd0, 0.5A: FFFE0006AF05A0A00005
ID0, Kp160, ki160, kd0, 1A: FFFE0006AA05A0A0000A
ID0, Kp160, ki160, kd0, 3.2A: FFFE00069405A0A00020
ID0, Kp160, ki160, kd160, 3.2A: FFFE0006F405A0A0A020
ID0, Kp160, ki160, kd160, 3.3A: FFFE0006F305A0A0A021
ID0, Kp160, ki160, kd160, 8.0A: FFFE0006C405A0A0A050
ID0, Kp160, ki160, kd160, 8.1A: FFFE0006C305A0A0A051
ID0, Kp244, ki0, kd0, 3.2A: FFFE0006D605FE000020
ID0, Kp244, ki0, kd0, 24.2A: FFFE0006F805FE0000FE
ID0, Kp244, ki0, kd244, 3.2A: FFFE0006D805FE00FE20
ID0, Kp244, ki16, kd0, 3.2A: FFFE0006C605FE100020
ID0, Kp244, ki244, kd0, 0.5A: FFFE0006F305FEFE0005
ID0, Kp244, ki244, kd0, 1.6A: FFFE0006E805FEFE0010
ID0, Kp244, ki244, kd0, 3.2A: FFFE0006D805FEFE0020
ID0, Kp244, ki244, kd0, 16A: FFFE00065805FEFE00A0
ID0, Kp244, ki244, kd244, 3.2A: FFFE0006DA05FEFEFE20
ID0, Kp244, ki244, kd244, 8.0A: FFFE0006AA05FEFEFE50
ID1, Kp80, ki0, kd0, 24.4A: FFFE0106A505500000FE
ID1, Kp244, ki244, kd244, 8.0A: FFFE0106A905FEFEFE50
ID2, Kp80, ki0, kd0, 24.4A: FFFE0206A405500000FE
